	Term	Freq
855	аттик	6
856	вознаграждение	6
857	фибула	6
858	крупа	6
859	тверь	6
860	поджог	6
861	эпиграмма	6
862	изоляция	6
863	провиант	6
864	эмигрант	6
865	реформатор	6
866	берингия	6
867	анналы	6
868	тюлень	6
869	мул	6
870	литовец	6
871	горшков	6
872	заглавие	6
873	заклинание	6
874	цинга	6
875	сосуществование	6
876	губерния	6
877	парадигма	6
878	мастодонт	6
879	обет	6
880	антонин	6
881	царствование	6
882	перезахоронение	6
883	ипподром	6
884	зарисовка	6
885	черепица	6
886	флагман	6
887	треск	6
888	расстрел	6
889	троянец	6
890	крестоносец	6
891	карнак	6
892	венок	6
893	рубило	6
894	моча	6
895	покровительство	6
896	мумификация	6
897	марсель	6
898	питься	6
899	альфа	6
900	закрепление	6
901	вражда	6
902	физиология	6
903	консенсус	6
904	искажение	6
905	алхимия	6
906	херсонес	6
907	мегалит	6
908	склеп	6
909	парадокс	6
910	разоблачение	6
911	григориевич	6
912	лена	6
913	служение	6
914	сговор	6
915	парфенон	6
916	процветание	6
917	риторика	6
918	присвоение	6
919	пирей	6
920	дружина	6
921	сель	6
922	нева	6
923	стадион	6
924	ивка	6
925	постулат	6
926	почет	6
927	полтина	6
928	литератор	6
929	почесть	6
930	робот	6
931	нара	6
932	тесть	6
933	дельта	6
934	босфор	6
935	спад	6
936	приписка	6
937	хоббит	6
938	астрология	6
939	противодействие	6
940	националист	6
941	католичество	6
942	похвала	6
943	амфипол	6
944	порох	6
945	археоботаник	6
946	жертвенник	6
947	монахиня	6
948	ремесло	6
949	фанагорье	6
950	деяние	6
951	тор	6
952	сплав	6
953	варяг	6
954	карикатура	6
955	чукча	6
956	осадок	6
957	захватчик	6
958	язычество	6
959	выемка	6
960	деметра	6
961	ограда	6
962	передвижение	6
963	либерализм	6
964	нагасаки	6
965	легитимность	6
966	биология	6
967	кольчуга	6
968	нрав	6
969	скорпион	6
970	переписывание	6
971	графиня	6
972	осло	6
973	иоанновна	6
974	свая	6
975	пафос	6
976	диана	6
977	севастополь	6
978	копать	6
979	ступня	6
980	град	6
981	склонность	6
982	удаление	6
983	дейра	6
984	экспансия	6
985	разложение	6
986	связка	6
987	кинг	6
988	клан	6
989	диагноз	6
990	удел	6
991	коллапс	6
992	историограф	6
993	копт	6
994	ведьма	6
995	аменхотепа	6
996	обстрел	6
997	осел	6
998	стража	6
999	интрига	6
1000	тепа	6
1001	погружение	6
1002	лосось	6
1003	впечатлевать	6
1004	трофей	6
1005	реалия	6
1006	якут	6
1007	патагония	6
1008	геофизик	6
1009	предательство	6
1010	примирение	6
1011	эмиграция	6
1012	оскорбление	6
1013	вычисление	6
1014	клеопатра	6
1015	промысел	6
1016	герцогство	6
1017	навоз	6
1018	пересечение	6
1019	бисер	6
1020	пряность	6
1021	пересказ	6
1022	рюрикович	6
1023	бедняк	6
1024	грызунов	6
1025	канализация	6
1026	погоня	6
1027	янцзы	6
1028	христианизация	6
1029	пленник	6
1030	прообраз	6
1031	ступка	6
1032	пират	6
1033	нефрит	6
1034	анды	5
1035	лопата	5
1036	горн	5
1037	аста	5
1038	антилопа	5
1039	бегемот	5
1040	лилия	5
1041	стилистика	5
1042	альтернатива	5
1043	усердие	5
1044	коррозия	5
1045	возвышение	5
1046	доступность	5
1047	чан	5
1048	зарождение	5
1049	ходдер	5
1050	врангель	5
1051	коалиция	5
1052	нек	5
1053	фаворит	5
1054	пращ	5
1055	инфляция	5
1056	целость	5
1057	рожь	5
1058	петроглиф	5
1059	дикарь	5
1060	благословение	5
1061	пилигрим	5
1062	прошение	5
1063	реверс	5
1064	быков	5
1065	приданое	5
1066	причастность	5
1067	предтеча	5
1068	интеграция	5
1069	радиус	5
1070	марксизм	5
1071	оливка	5
1072	проработка	5
1073	осирис	5
1074	депортация	5
1075	демократ	5
1076	чарльстон	5
1077	транспортировка	5
1078	оптимизм	5
1079	слайд	5
1080	гулаг	5
1081	гам	5
1082	позвонок	5
1083	расселение	5
1084	островок	5
1085	лубянка	5
1086	эмблема	5
1087	авар	5
1088	сторож	5
1089	очищение	5
1090	конфискация	5
1091	киль	5
1092	рожок	5
1093	епархия	5
1094	асуан	5
1095	доцент	5
1096	лондиния	5
1097	заработок	5
1098	сословие	5
1099	туризм	5
1100	минерв	5
1101	социалист	5
1102	очертание	5
1103	андреевич	5
1104	прото	5
1105	юстиниан	5
1106	резолюция	5
1107	исправление	5
1108	стронций	5
