,path,source,url,date,title,subtitle,author,rubrics,tags,genre
89,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-11-black-holes-higgs.txt
",nplus1.ru,nplus1.ru/material/2015/08/11/black-holes-higgs,2015-08-11,Из пустого в порожнее,,Владимир Королев,_Наука_Космос_Физики смогли_,,Статьи
90,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-12-perseids-2015.txt
",nplus1.ru,nplus1.ru/material/2015/08/12/perseids-2015,2015-08-12,Летел и таял,,Аня Савченко,_Космос_Разное_,,Статьи
91,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-14-iceland-vikings.txt
",nplus1.ru,nplus1.ru/material/2015/08/14/iceland-vikings,2015-08-14,А мы уйдем на север,,Екатерина Русакова,_Наука_,,Статьи
92,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-17-galaxy-mergers.txt
",nplus1.ru,nplus1.ru/material/2015/08/17/galaxy-mergers,2015-08-17,Космическое сумо,,Владимир Королев,_Космос_Астрономические дневники_,,Статьи
93,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-18-living-with-goats.txt
",nplus1.ru,nplus1.ru/material/2015/08/18/living-with-goats,2015-08-18,Козлик по имени Томас,,Николай Воронцов,_Гаджеты_,,Статьи
94,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-20-subs.txt
",nplus1.ru,nplus1.ru/material/2015/08/20/subs,2015-08-20,Глубокая лодка,,Таисия Филиппова,_Технологии_,,Статьи
95,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-21-angles-and-corners.txt
",nplus1.ru,nplus1.ru/material/2015/08/21/angles-and-corners,2015-08-21,Пять углов,,Андрей Коняев,_Математика_,,Статьи
96,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-24-migmig.txt
",nplus1.ru,nplus1.ru/material/2015/08/24/migmig,2015-08-24,В краю огурцов и самолетов,,Александр Ершов,_Оружие_Технологии_,,Статьи
97,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-26-mig144.txt
",nplus1.ru,nplus1.ru/material/2015/08/26/mig144,2015-08-26,«Утка»-1.44,,Василий Сычев,_Оружие_,,Статьи
98,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-27-antimatter.txt
",nplus1.ru,nplus1.ru/material/2015/08/27/antimatter,2015-08-27,С точностью до наоборот,,Александр Ершов,_Наука_,,Статьи
99,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-29-plague.txt
",nplus1.ru,nplus1.ru/material/2015/08/29/plague,2015-08-29,Просто чума,,Екатерина Русакова,_Наука_,,Статьи
100,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-08-31-palati.txt
",nplus1.ru,nplus1.ru/material/2015/08/31/palati,2015-08-31,Дворцовый поворот,,Александр Ершов,_Наука_Археология_,,Статьи
101,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-01-private-nuclear-fusion.txt
",nplus1.ru,nplus1.ru/material/2015/09/14/astrophoto,2015-09-14,Время для звезд,,Таисия Филиппова,_Космос_Астрофотография_,,Статьи
102,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-01-rover-at-home.txt
",nplus1.ru,nplus1.ru/material/2015/09/01/private-nuclear-fusion,2015-09-01,Это будет бомба,,Владимир Королев,_Наука_Физики смогли_,,Статьи
103,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-04-grotefend.txt
",nplus1.ru,nplus1.ru/material/2015/09/01/rover-at-home,2015-09-01,Марсоход в домашних условиях,,Андрей Коняев,_Технологии_Сделай сам_,,Статьи
104,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-05-idoldating.txt
",nplus1.ru,nplus1.ru/material/2015/09/04/grotefend,2015-09-04,"Цари, царям, царями, о царях",,Александр Ершов,_Наука_,,Статьи
105,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-08-psycrisis.txt
",nplus1.ru,nplus1.ru/material/2015/09/05/idoldating,2015-09-05,Древнее пирамид,,Александр Ершов,_Наука_Археология_,,Статьи
106,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-09-hawking-and-the-paradox.txt
",nplus1.ru,nplus1.ru/material/2015/09/08/psycrisis,2015-09-08,Не повторяется такое иногда,,Даниил Кузнецов,_Наука_,,Статьи
107,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-10-knots-and-ropes.txt
",nplus1.ru,nplus1.ru/material/2015/09/09/hawking-and-the-paradox,2015-09-09,«Никакого парадокса нет»,,Владимир Королев,_Наука_Космос_Физики смогли_,,Статьи
108,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-12-ww2-gremlins.txt
",nplus1.ru,nplus1.ru/material/2015/09/10/knots-and-ropes,2015-09-10,Нас всех повяжут,,Николай Воронцов,_Наука_,,Статьи
109,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-14-astrophoto.txt
",nplus1.ru,nplus1.ru/material/2015/09/12/ww2-gremlins,2015-09-12,Гремлины его Величества,,Таисия Филиппова,_Оружие_,,Статьи
110,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-15-terraforming.txt
",nplus1.ru,nplus1.ru/material/2015/09/15/terraforming,2015-09-15,Будут яблони цвести?,,Владимир Королев,_Космос_Технологии_Астрономические дневники_,,Статьи
111,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-09-17-seq.txt
",nplus1.ru,nplus1.ru/material/2015/09/17/seq,2015-09-17,Секвенируй это,,Александр Ершов,_Наука_Биология_,,Статьи
