	mentions	scholar
426	2	Армата
427	2	Лафборо
428	2	Абердинского
429	2	Элеонор Пауэр
430	2	Мицуо Кавато
431	2	Хендрика Пойнара
432	2	Брайан
433	2	Янник Рид
434	2	Бубакара
435	2	Расницын
436	2	Емельянова
437	2	Хейке
438	2	Джейсон Вонг
439	2	Рюли
440	2	Емельянов
441	2	Беспилотники
442	2	Лоренцо Йорио
443	2	Кэ Цзе
444	2	Нобелевский
445	2	Самуэлем Ганеманом
446	2	Боеприпас
447	2	Шехтман
448	2	Мирзахани
449	2	Львовского
450	2	Лорен Симкинс
451	2	Бондарев
452	2	Николя Вюинье
453	2	Рукавишниковой
454	2	Роберт Вебстер
455	2	Корнелльского
456	2	Айзека Сильвера
457	2	Юю
458	2	Бена Феринги
459	2	Мультиплексор
460	2	Мэтт Тейлор
461	2	Невады
462	2	Клещин
463	2	Принстонского
464	2	Жан
465	2	Орлова
466	2	Харрисон
467	2	Чилла Ари
468	2	Гиппократ
469	2	Кальбаум
470	2	Крепелин
471	2	Джероламо Кардано
472	2	Майком
473	2	Бибиана Рохас
474	2	Альберты
475	2	Зияд
476	2	Кли
477	2	Коллаборация
478	2	Эболы
479	2	Маастрихта
480	2	Анжела Сиригу
481	2	Мишель Гийон
482	2	Теренс Тао
483	2	Стивенс
484	2	Харрис
485	2	Эндрю Уэйкфилда
486	2	Бэйлоровского
487	2	Фолкенхэм
488	2	Питера Бенчли
489	2	Куин Элизабет
490	2	Закари Ховард
491	2	Геродот
492	2	Уайтуорс
493	2	Сингха
494	2	Циолковский
495	2	Роберт Годдард
496	2	Грутцнер
497	2	Перри
498	2	Гетти
499	2	Аннет Маклауд
500	2	Бьярмар Аталстейнссон
501	2	Сьюза
502	2	Павел
503	2	Бергер
504	2	Джеймса Батлера
505	2	Левин
506	2	Мантуров
507	2	Алексеева
508	2	Синъити Мотидзуки
509	2	Остин
510	2	Бассинг
511	2	Грин
512	2	Рене Хеллер
513	2	Хаддерсфилда
514	2	Хосе Вакеро
515	2	Попова
516	2	Хилл
517	2	Эванса
518	2	Трахтенберг
519	2	Масахиро
520	2	Саудовской Аравии
521	2	Питер
522	2	Артемия Лебедева
523	2	Майк Роджерс
524	2	Лебедева
525	2	Когоро Курата
526	2	Многие
527	2	Новгороде
528	2	Синъя Яманака
529	2	Тюбингена
530	2	Юрий Ковалев
531	2	Конев
532	2	Андреа
533	2	Дикина
534	2	Паркера
535	2	Элизабет Блекберн Кэрол
536	2	Джек Шостак
537	2	Хозин
538	2	Нэш
539	2	Гиппиуса
540	2	Телекомпания
541	2	Феликс
542	2	Данте Миннити
543	2	Маккейн
544	2	Дэвид Юм
545	2	Уралвагонзавод
546	2	Руси
547	2	Дроны
548	2	Рокфеллера
549	2	Бостонского
550	2	Эмра Дюзель
551	2	Микель Дельгадо
552	2	Штуттгарта
553	2	Филд
554	2	Рэй Мабус
555	2	Росселли Дель Турко
556	2	Роскосмосе
557	2	Марраффини
558	2	Макгинн
559	2	Квазичастицами
560	2	Эрик Бернхардссон
561	2	Ричард Феннесси
562	2	Куинсленда
563	2	Судзуми Тонегавы
564	2	Мосс
565	2	Биопленка
566	2	Юрий Мильнер
567	2	Скоков
568	2	Британия
569	2	Энтони
570	2	Джеймсом
571	2	Николай
572	2	Моники
573	2	Грек
574	2	Дартмутского
575	2	Листон
576	2	Эрнста Берджесса
577	2	Цинциннати
578	2	Софи Верхейден
579	2	Илона
580	2	Доннелла
581	2	Джейсона
582	2	Вернером Крюгером
583	2	Мультикоптер
584	2	Хуана
585	2	Салли Дэвис
586	2	Ивановой
587	2	Роше
588	2	Джесси
589	2	Комаров
590	2	Ван Гог
591	2	Стивена Ясински
592	2	Луизианы
593	2	Псевдоспутниками
594	2	Больцано
595	2	Моника Уорд
596	2	Эяль
597	2	Сенека
598	2	Ричард Оуэн
599	2	Назим Сабури
600	2	Кларк
601	2	Стефано Лоренцини
602	2	Лурия
603	2	Несс
604	2	Дастин Ланг
605	2	Джека Хорнера
606	2	Ангус
607	2	Дэвидсон
608	2	Рокфеллеровского
609	2	Полсона
610	2	Кендрю
611	2	Сбербанк
612	2	Харанги
613	2	Арсений Акопян
614	2	Московий
615	2	Майер
616	2	Федор
617	2	Умео
618	2	Гущин
619	2	Денвере
620	2	Кэмпбелла
621	2	Хольгер Зиркс
622	2	Зересенай Алемсегед
623	2	Сергей Кавтарадзе
624	2	Бестер
625	2	Белл
626	2	Фрицем Вернером
627	2	Джоди Раули
628	2	Часто
629	2	Обамы
630	2	Мигель Николелис
631	2	Ален Мауэр
632	2	Шмидт
633	2	Филипа Дика
634	2	Мотоко Бато
635	2	Ричард Ленски
636	2	Цицерон
637	2	Висса
638	2	Московского
639	2	Эрик Бетциг
640	2	Океанос
641	2	Эйлат
642	2	Алабама
643	2	Шпела Горицки
644	2	Евросоюз
645	2	Игорь
646	2	Эми
647	2	Петр Трачик
648	2	Мердока
649	2	Радиоастрон
650	2	Черч
651	2	Винглеты
652	2	Ульянцев
653	2	Олег
654	2	Дэн Грор
655	2	Винсент
656	2	Зарайский
657	2	Кузнецов
658	2	Есинори Осуми
659	2	Фемарн
660	2	Кашел
661	2	Хейдена Тайсон
662	2	Иоганна Гутенберга
663	2	Ноам Браун
664	2	Джефферсон
665	2	Поуп
666	2	Питер Шульц
667	2	Левенгуку
668	2	Эмилем Ганьяном
669	2	Хенди
670	2	Дрейпера
671	2	Крамера
672	2	Гроховский
673	2	Джоди Мэгнесс
674	2	Юма
675	2	Лаврентий
676	2	Эльма
677	2	Федоров
678	2	Алан Стерн
679	2	Карла Дизерота
680	2	Брайен
681	2	Универститета
682	2	Бродский
683	2	Сергея Шейко
684	2	Ломоносова
685	2	Щербаков
686	2	Роберт Гесс
687	2	Кэтлин Богарт
688	2	Майкл Даймонд
689	2	Петр Шульга
690	2	Митинори Саито
691	2	Шибитов
692	2	Крис
693	2	Питер Мэнсфилд
694	2	Сэндвик
695	2	Эрик Бирли
696	2	Флэйк
697	2	Фоли
698	2	Технодинамика
699	2	Кондрашев
700	2	Дега
701	2	Дюга
702	2	Иоахим
703	2	Табакаев
704	2	Винчи
705	2	Армсон
706	2	Фактум
707	2	Микеланджело
708	2	Оулу
709	2	Виндоланды
710	2	Гадури
711	2	Модельски
712	2	Мэтт Свортаут
713	2	Альберта Эйнштейна
714	2	Луиза Шофилд
715	2	Дэвидом Талботом
716	2	Нолан Мур
717	2	Флавий
718	2	Ричардса
719	2	Гасторнис
720	2	Гастона Планте
721	2	Гарри
722	2	Монтень
723	2	Десолти
724	1	Джеймс Коул
725	1	Оскар Ван Девентер
726	1	Ван Девентера
727	1	Жилин
728	1	Жилина
729	1	Дора Биро
730	1	Такао Сасаки
731	1	Джулиана Хаксли
732	1	Гарри Уитерби
733	1	Алун Морган
734	1	Якобсон
735	1	Альфред Вегенер
736	1	Мартин Кординер
737	1	Вирион
738	1	Бартлетт
739	1	Аверьянов
740	1	Карен Саркисян
741	1	Тамар Макин
742	1	Киккерт
743	1	Хироки
744	1	Хироки Сайто
745	1	Эрика Утси
746	1	Янив Эрлих
747	1	Макфи
748	1	Зазула
749	1	Карлом Руппертом
750	1	Денисоном
751	1	Херст
752	1	Фушье
753	1	Стельцнер
754	1	Тима Гоуэрса
755	1	Джерри Ки
756	1	Файнстайна
757	1	Эллен Стофан
758	1	Якоб
759	1	Майкл Холмс
760	1	Дредз
761	1	Макодо Одамаки
762	1	Дэвид Линденмайер
763	1	Бен
764	1	Линденмайер
765	1	Ричарда Бейтмана
766	1	Вакар Малевич
767	1	Мэтью Дэвиса
768	1	Миннесоте
769	1	Натали Госнелл
770	1	Скандалы-Интриги-Расследования
771	1	Мэтью Люси
772	1	Чи Нань
773	1	Эриху Клару
774	1	Рандольфа Менцеля
775	1	Дэвид Ормерод
776	1	Ричард Тальберт
777	1	Суррейского
778	1	Себастьян Номад
779	1	Себастьяна Номада
780	1	Норберт Глейхер
781	1	Мишелем
782	1	Белла
783	1	Синьцзяна
784	1	Эстен
785	1	Пеннингтон
786	1	Гленн Таттерсалл
787	1	Хайрем
788	1	Изабель Абади
789	1	Мюонный
790	1	Жерар Бомгар
791	1	Майера
792	1	Харольд Крото
793	1	Марек Бачинский
794	1	Сэма Коссмана
795	1	Экструдер
796	1	Мирко Малеза
797	1	Грэма Рейнольдса
798	1	Джо Барнетт
799	1	Хомутова
800	1	Демокрит
801	1	Оливье Хэнотт
802	1	Оливье Хэннота
803	1	Ричарда Брэнсона
804	1	Джорджией Уилер
805	1	Тейлор
806	1	Канадзавы
807	1	Такеси Оиси
808	1	Палеосейсмологи
809	1	Эшли Шарп
810	1	Хортона
811	1	Дениэла Лопеза
812	1	Львовский
813	1	Франческо Мартини
814	1	Цайлингера
815	1	Натаном Интратором
816	1	Карно
817	1	Гленн Ортон
818	1	Гималаях
819	1	Вермонтского
820	1	Вилмот
821	1	Лонгобарди
822	1	Альфреда Уоллеса
823	1	Павла Никольского
824	1	Флавий Улиад
825	1	Аполлония Афродисийского Карика
826	1	Киард
827	1	Рутом Итзаки
828	1	Делфтакоптер
829	1	Саратовского
830	1	Черча
831	1	Дэвида Череша
832	1	Ву
833	1	Дэвид Грубер
834	1	Ресифе
835	1	Лусии Феррейры
836	1	Дэвида Ына
837	1	Штучкин
838	1	Эндрю Маршалл
839	1	Людвигом Больцманом
840	1	Алан Драйздейл
841	1	Джейсона Миллера
842	1	Скотта
843	1	Клэя
844	1	Макс Кнолль
845	1	Эрнст Руска
846	1	Тусон
847	1	Япета
848	1	Ип
849	1	Ренна
850	1	Кристин
851	1	Робертом Макнотом
852	1	Брайан Вуд
853	1	Дэвид Уоттс
854	1	Зооархеологи
855	1	Джеки Фахрити
856	1	Федерико Кантини
857	1	Веттий Агорий Претекстат
858	1	Иероним
859	1	Френсис Рекс Паррингтон
860	1	Джессика Петерсон
861	1	Парто Гош
862	1	Дэнни Чена
863	1	Тед Молчжан
864	1	Навин
865	1	Нейробиологи
866	1	Майкл Янг
867	1	Тэд Траскот
868	1	Барнс Уоллес
869	1	Наталья Стойнова
870	1	К. И. Казенин
871	1	С. Г. Татесовов
872	1	Джаффи
873	1	Презо
874	1	Медникова
875	1	Медниковой
876	1	Реми Луф
877	1	Бартелеми
878	1	Соболевым
879	1	Высокоточный Поляриметрический
880	1	Пастера
881	1	Тэкаясу Сэкурая
882	1	Такао Сомея
883	1	Сомея
884	1	Ральф Гримм
885	1	Гримм
886	1	Брюсем Сондерсом
887	1	Женевского
888	1	Мишеля Милинковича
889	1	Смирнов
890	1	Ник Мур
891	1	Игни Агнарссона
892	1	Стэплтон
893	1	Мосфильмовской
894	1	Христиан
895	1	Гюйгенс
896	1	Регалицератопс
897	1	Мергарха
898	1	Ван
899	1	Вилайянур Рамачандран
900	1	Питера Вицгалля
901	1	Станислав
902	1	Апостолос Кристу
903	1	Камулодун
904	1	Вильгельма
905	1	Вольфганга Тремеля
906	1	Денисов
907	1	Келлен Паркер
908	1	Стив Хансен
909	1	Метье Хермонпре
910	1	Хермонпре
911	1	Этионамид
912	1	Шаманов
913	1	Сергея Слепченко
914	1	Натальи Федоровой
915	1	Сантьяго Уседа
916	1	Гиннесса
917	1	Хуан
918	1	Масуда Хусейна
919	1	Джеральд Майр
920	1	Таулес
921	1	Холдейн
922	1	Дейва Беннетта
923	1	Теннесси Доуни Стедман
924	1	Дмитрия Родичева
925	1	Сэм Барретт
926	1	Кентерберийских
927	1	Барретта
928	1	Маргарет Гибсон
929	1	Вольфа
930	1	Клаудио Рихтер
931	1	Альтаир
932	1	Уильям
933	1	Джошуа Сэмюэлс
934	1	Левицки
935	1	Эмма Тилинг
936	1	Дэннис Хьюз
937	1	Московской Руси
938	1	Сенгера
939	1	Рэнди Глэдстоун Джеффри Мур
940	1	Френ Бегинел
941	1	Перистери
942	1	Макгуран
943	1	Метаматериал
944	1	Дж. Р.
945	1	Атула Прадхана
946	1	Салли
947	1	Михаэла Павличев
948	1	Гюнтер Вагнер
