path,source,url,date,title,subtitle,author,rubrics,tags,genre
chrdk.ru/articles/sci_cell_free_dna.txt,https://chrdk.ru/,https://chrdk.ru/sci/cell_free_dna,16.03.2017,Внеклеточная ДНК: история в пяти вопросах,"Что умеет ДНК, кроме передачи информации, как она работает вне клетки и можем ли мы это использовать",Полина Лосева,,Молекулярная биология_Биология_Медицина,Статьи
chrdk.ru/articles/sci_chemo_camo.txt,https://chrdk.ru/,https://chrdk.ru/sci/chemo_camo,22.04.2017,Правила камуфляжа,Биология и математика управляют окраской животных,Михаил Петров,,Науки о живом_Химия_Молекулярная биология,Статьи
chrdk.ru/articles/sci_chem_muzhchiny_otlichajutsa_ot_zhenschin.txt,https://chrdk.ru/,https://chrdk.ru/sci/chem_muzhchiny_otlichajutsa_ot_zhenschin,21.08.2015,(Не) слишком разные,«Чердак» разобрался с популярными стереотипами о мужчинах и женщинах,Алексей Тимошенко,,История_Психология_Нейронауки_Биология,Статьи
chrdk.ru/articles/sci_chem_neandertalskie_mladentsy_otlichautsya_ot_sovremennyh.txt,https://chrdk.ru/,https://chrdk.ru/sci/chem_neandertalskie_mladentsy_otlichautsya_ot_sovremennyh,24.05.2016,Младенчество неандертальца,Чем неандертальские младенцы отличаются от современных?,Екатерина Боровикова,,Интервью_Российская наука_Антропология_Выбор редакции,Статьи
chrdk.ru/articles/sci_cherdak_obyasnyaet_otchego_my_hrapim_i_kak_s_etim_borotsya.txt,https://chrdk.ru/,https://chrdk.ru/sci/cherdak_obyasnyaet_otchego_my_hrapim_i_kak_s_etim_borotsya,18.01.2016,Дайте людям спать спокойно,"«Чердак» объясняет, отчего мы храпим и как с этим бороться",,,История_Медицина,Статьи
chrdk.ru/articles/sci_chernye_dyry_v_tsentrah_galaktik_ne_daut_rozhdatsya_novym_zvezdam.txt,https://chrdk.ru/,https://chrdk.ru/sci/chernye_dyry_v_tsentrah_galaktik_ne_daut_rozhdatsya_novym_zvezdam,25.05.2016,Нерожденные звезды,Как черные дыры в центрах галактик не дают рождаться новым звездам,Екатерина Боровикова,,Астрономия_Интервью_Российская наука_Репортаж_Видео,Статьи
chrdk.ru/articles/sci_chess_centaur.txt,https://chrdk.ru/,https://chrdk.ru/sci/chess_centaur,11.05.2017,Шахматные кентавры,Как люди и компьютеры стали играть в шахматы вместе,Михаил Петров,,Математика_Информационные технологии_Робототехника_Футурология,Статьи
chrdk.ru/articles/sci_chto_budut_obsuzhdat_na_sammite_v_parizhe.txt,https://chrdk.ru/,https://chrdk.ru/sci/chto_budut_obsuzhdat_na_sammite_v_parizhe,30.11.2015,заг,подзаг,,,Климат_Изменение климата_Экология,Статьи
chrdk.ru/articles/sci_chto_mozhno_kolonizirovat_v_solnechnoj_sisteme.txt,https://chrdk.ru/,https://chrdk.ru/sci/chto_mozhno_kolonizirovat_v_solnechnoj_sisteme,22.07.2015,Дом в небесах,На каких телах в Солнечной системе можно основать колонию,Алексей Паевский,,Прогнозы_Космос_Футурология,Статьи
chrdk.ru/articles/sci_chto_my_uznali_o_venere_v_xx_veke_i_kak_ee_planiruetsya_issledovat_seichas.txt,https://chrdk.ru/,https://chrdk.ru/sci/chto_my_uznali_o_venere_v_xx_veke_i_kak_ee_planiruetsya_issledovat_seichas,22.10.2015,Удивительная планета,Что мы узнали о Венере в XX веке и как планируется исследовать ее сейчас,Екатерина Боровикова,,Астрономия_Футурология_Российская наука,Статьи
