path,source,date,title,subtitle,author,rubrics,tags
https://chrdk.ru/sci/do-microbes-dream-of,https://chrdk.ru/,23.08.2017,Чего от нас хотят микробы?,Они управляют нашим поведением и добиваются желаемого,Полина Лосева,,Молекулярная биология_Биология_Медицина_Микробиология
https://chrdk.ru/sci/dolly_the_sheep_and_her_4_sisters,https://chrdk.ru/,27.07.2016,Атака клонов овечки Долли,Ученые опровергли опасения о преждевременном старении клонированных животных,Екатерина Боровикова,,Биотехнологии_Генетика_Футурология
https://chrdk.ru/sci/do_it_like_they_do_on_the_discovery_channel,https://chrdk.ru/,10.03.2017,Подкрался незаметно,Зачем ученые переодеваются в животных,Екатерина Боровикова,,Животные
https://chrdk.ru/sci/dubna_nica_lhc,https://chrdk.ru/,29.09.2015,От синхрофазотрона к NICA,В Дубне строят коллайдер тяжелых ионов и активизируют сотрудничество с БРИКС,Александра Борисова,,Физика_Интервью_Российская наука_Большой адронный коллайдер_ОИЯИ
https://chrdk.ru/sci/editing_controversy,https://chrdk.ru/,11.09.2017,Семь раз отмерь,Что может быть не так с отредактированными зародышами человека,Полина Лосева,,Генетика_Молекулярная биология
https://chrdk.ru/sci/editing_the_biosphere,https://chrdk.ru/,22.09.2017,Как отредактировать биосферу,Что такое генный драйв и как он работает,Дмитрий Лебедев,,Молекулярная биология
https://chrdk.ru/sci/eksperiment_po_izucheniju_nejtrinnyh_ostsilliatsij_dal_pervye_rezultaty,https://chrdk.ru/,21.08.2015,Выход в новую физику,Ученые рассказали «Чердаку» об охоте за самой загадочной частицей Вселенной,Ирина Якутенко,,Физика_Интервью
https://chrdk.ru/sci/europa_plumes,https://chrdk.ru/,28.09.2016,Европейские фонтаны,«Хаббл» подтвердил существование водяных гейзеров на спутнике Юпитера Европе,Екатерина Боровикова,,Астрономия_Космос_Интервью_Футурология_Репортаж_Видео
https://chrdk.ru/sci/exoplanets25,https://chrdk.ru/,20.04.2017,Элегия к далеким мирам,"Экзопланеты были открыты четверть века назад, а инопланетян все не видно",Екатерина Боровикова,,Космос
https://chrdk.ru/sci/fantasticheskaya-nauka,https://chrdk.ru/,08.11.2017,Фантастическая наука,Студенческие исследования на актуальные темы современности,Екатерина Боровикова,,Физика_Астрономия_Материаловедение
https://chrdk.ru/sci/fast_radio_bursts,https://chrdk.ru/,09.11.2017,Астрономы нашли источник мощных космических радиосигналов,"Но почему они происходят, до сих пор непонятно",Екатерина Боровикова,,Физика_Астрономия_Космос_Российская наука_Репортаж
https://chrdk.ru/sci/fgc_evolutionary_benefits,https://chrdk.ru/,14.11.2017,Здесь так принято,"Антропологи разобрались, почему трудно искоренить женское обрезание",Ольга Добровидова,,Репортаж_Антропология
https://chrdk.ru/sci/fiziki_nauchilis_upravlyat_dvizheniem_otdelnyh_elektronov_v_molekule,https://chrdk.ru/,22.10.2015,Повелители электронов,Физики научились управлять движением отдельных электронов в молекуле,Екатерина Боровикова,,Физика_Российская наука_Профессии будущего
https://chrdk.ru/sci/from_data_to_meaning,https://chrdk.ru/,14.08.2017,От цифры к смыслу,О цифровых методах в гуманитарных науках,Евгения Щербина,,История_Социология_Информационные технологии_Лингвистика
https://chrdk.ru/sci/Frontier,https://chrdk.ru/,03.03.2016,Наш Дикий Запад,"Ученые объяснили, почему у отдаленных территорий свой путь развития",Михаил Петров,,Социология_Экономика_Российская наука_Наука в университетах
https://chrdk.ru/sci/future_professions_photo,https://chrdk.ru/,16.09.2016,Профессии будущего,Фоторепортаж из современных лабораторий,Анастасия Тмур,,Науки о живом_Молекулярная биология_Нейронауки_Биология_Фото
https://chrdk.ru/sci/galieva_interview,https://chrdk.ru/,14.02.2017,С приходом старости жизнь не заканчивается,Интервью с Надеждой Галиевой о стариках и социологии старения,,,Социология_Антропология
https://chrdk.ru/sci/geoengineering,https://chrdk.ru/,06.04.2016,У природы нет плохой погоды? ,Как и зачем люди пытаются изменить климат Земли  ,Михаил Петров,,История_Космос_Климат_Изменение климата_Рациональное природопользование_География
