path,source,date,title,subtitle,author,rubrics,tags
chrdk.ru/news/news_bolshoi-ves-meshaet-zhivotnym,https://chrdk.ru/,18.07.2017,Слишком большой вес мешает самым большим животным быть самыми быстрыми,,,,Животные
chrdk.ru/news/news_bonobo-beskorystno-pomogayut,https://chrdk.ru/,10.11.2017,Бонобо бескорыстно помогают незнакомцам,,,,Животные
chrdk.ru/news/news_bottlenose_optimists,https://chrdk.ru/,10.02.2017,Дельфины-оптимисты плавают синхронно,,,,Психология_Животные
chrdk.ru/news/news_boty-vedut-voiny,https://chrdk.ru/,28.02.2017,Боты Википедии годами ведут бесполезные войны правок,,,,Информационные технологии
chrdk.ru/news/news_brachylophosaurus_protein,https://chrdk.ru/,25.01.2017,Найден белок возрастом 80 миллионов лет,,,,Палеонтология_Молекулярная биология
chrdk.ru/news/news_brains_remember_missing_hands,https://chrdk.ru/,05.09.2016,Мозг «управляет» ампутированными конечностями спустя десятилетия,,,,Нейронауки_Медицина_Наука в университетах
chrdk.ru/news/news_brain_during_hypnosis,https://chrdk.ru/,01.08.2016,"Ученые узнали, как гипноз воздействует на мозг",,,,Психология_Медицина
chrdk.ru/news/news_braslety-plokho-schitayut-kalorii,https://chrdk.ru/,30.05.2017,Фитнес-браслеты плохо считают расход калорий,,,,Медицина_Технологии
chrdk.ru/news/news_breakthrough_junior_challenge,https://chrdk.ru/,03.09.2016,Мильнер и Цукерберг объявили конкурс на лучший научный видеоролик,,,,Конкурс_Дети
chrdk.ru/news/news_britanskie_uchenye_ishhut_paru_dlya_redchaishei_levozakruchennoi_ulitki,https://chrdk.ru/,21.10.2016,Британские ученые ищут пару для редчайшей левозакрученной улитки,,,,Науки о живом_Генетика_Животные
chrdk.ru/news/news_bubbling_oil_detection,https://chrdk.ru/,02.08.2016,Томские биологи сделали щуп для поиска нефтяных загрязнений на дне озер и рек,,,,Наука в университетах_Экология_Технологии
chrdk.ru/news/news_budgerigars_understand_grammar,https://chrdk.ru/,24.06.2016,Волнистые попугайчики понимают грамматику не хуже семимесячных младенцев,,,,Психология_Животные_Лингвистика
chrdk.ru/news/news_building_blocks_of_memories,https://chrdk.ru/,19.09.2016,Нейроны вместе запоминают пройденное расстояние,,,,Нейронауки_Биология
chrdk.ru/news/news_but-shchedrym,https://chrdk.ru/,01.03.2017,Окситоцин призывает быть щедрым с незнакомцами,,,,Психология
chrdk.ru/news/news_bystroe-upotreblenie,https://chrdk.ru/,15.09.2017,Быстрое употребление больших доз алкоголя нарушает развитие мозга,,,,Биология_Медицина
